Nama Merchant;Tanggal Transaksi;Nomor Transaksi;Nominal Transaksi;Tip;Harga;Total Terbayar;MDR;Tipe QR;Terminal;Issuer;Nomor Tagihan;No. Referensi Tagihan;Status;Status Pelimpahan Dana
Warung FIFGROUP 1;2026-05-15 10:49:40;INV/QRM/4B1VJ5/260515/28Z0QOHP;2000;0;2000;2000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-15 10:45:44;INV/QRM/4B1VJ5/260515/28O0MOVE;6500;0;6500;6500;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-15 10:19:37;INV/QRM/4B1VJ5/260515/26NLBPY0;23000;0;23000;23000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 19:20:29;INV/QRM/4B1VJ5/260513/4465M94R;10000;0;10000;10000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 18:41:33;INV/QRM/4B1VJ5/260513/3Y2T4TDH;16500;0;16500;16500;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 17:01:49;INV/QRM/4B1VJ5/260513/3NADALMF;15000;0;15000;15000;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 17:01:46;INV/QRM/4B1VJ5/260513/3NAAX93U;15000;0;15000;15000;0;STATIC;A001;BANK_NEO_COMMERCE;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 16:33:55;INV/QRM/4B1VJ5/260513/3I1N9SQK;35000;0;35000;35000;0;STATIC;A001;BRI;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 16:31:08;INV/QRM/4B1VJ5/260513/3HUS9W2U;15000;0;15000;15000;0;STATIC;A001;BRI;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 15:45:50;INV/QRM/4B1VJ5/260513/3B92TVVI;11500;0;11500;11500;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 15:45:15;INV/QRM/4B1VJ5/260513/3B83EX98;35000;0;35000;35000;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 15:44:11;INV/QRM/4B1VJ5/260513/3B57A9AS;15000;0;15000;15000;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 14:53:05;INV/QRM/4B1VJ5/260513/3449E1TF;7000;0;7000;7000;0;STATIC;A001;BANK_JAGO;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 12:59:30;INV/QRM/4B1VJ5/260513/2P62KV94;75000;0;75000;75000;0;STATIC;A001;DIGITAL_BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 12:58:41;INV/QRM/4B1VJ5/260513/2P3L6517;75000;0;75000;75000;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 12:43:21;INV/QRM/4B1VJ5/260513/2NXDKUST;63000;0;63000;63000;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 12:24:22;INV/QRM/4B1VJ5/260513/2MGMV3TL;23000;0;23000;23000;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-13 11:50:55;INV/QRM/4B1VJ5/260513/2GRZ6XV1;23000;0;23000;23000;0;STATIC;A001;BNI;;;BERHASIL;DALAM PROSES
