Nama Merchant;Tanggal Transaksi;Nomor Transaksi;Nominal Transaksi;Tip;Harga;Total Terbayar;MDR;Tipe QR;Terminal;Issuer;Nomor Tagihan;No. Referensi Tagihan;Status;Status Pelimpahan Dana
Warung FIFGROUP 3;07/05/2026 22:06;INV/QRM/4B1VJ7/260507/4Q971HUW;161500;0;161500;Rp161.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 16:23;INV/QRM/4B1VJ7/260507/3H9HNO2Q;28500;0;28500;Rp28.500,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 15:54;INV/QRM/4B1VJ7/260507/3BXD31KJ;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 14:43;INV/QRM/4B1VJ7/260507/33CGDQR9;15000;0;15000;Rp15.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 14:11;INV/QRM/4B1VJ7/260507/30WKTJM9;7000;0;7000;Rp7.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 12:39;INV/QRM/4B1VJ7/260507/2NLR6L2U;7000;0;7000;Rp7.000,00;0;STATIC;A001;GOPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 12:03;INV/QRM/4B1VJ7/260507/2KU3YTTR;11000;0;11000;Rp11.000,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 11:51;INV/QRM/4B1VJ7/260507/2GUK7BZI;23000;0;23000;Rp23.000,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 11:24;INV/QRM/4B1VJ7/260507/2EQJ40SZ;3500;0;3500;Rp3.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 11:19;INV/QRM/4B1VJ7/260507/2ECECINX;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 11:17;INV/QRM/4B1VJ7/260507/2E6TCGU5;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 11:13;INV/QRM/4B1VJ7/260507/2DWIVHJK;35000;0;35000;Rp35.000,00;0;STATIC;A001;MANDIRI;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 10:22;INV/QRM/4B1VJ7/260507/26VBYG2Q;23000;0;23000;Rp23.000,00;0;STATIC;A001;BTPN;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 10:01;INV/QRM/4B1VJ7/260507/25909X89;43500;0;43500;Rp43.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;07/05/2026 09:10;INV/QRM/4B1VJ7/260507/1Y7UBYSO;23000;0;23000;Rp23.000,00;0;STATIC;A001;SEABANK;;;BERHASIL;DALAM PROSES
